Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2016-05-08 14:17:39.924706+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,73.0,,,,,,,,,,,,
2016-05-08 14:17:42.949736+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,74.0,,,,,,,,,,,,
2016-05-08 14:17:45.973907+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,75.33333333333333,,,,,,,,,,,,
2016-05-08 14:17:48.998435+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,76.33333333333333,,,,,,,,,,,,
2016-05-08 14:17:52.021455+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,77.33333333333333,,,,,,,,,,,,
2016-05-08 14:17:55.046264+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,78.33333333333333,,,,,,,,,,,,
2016-05-08 14:17:58.072015+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,79.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:01.151780+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,80.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:04.179079+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,81.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:07.201050+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,82.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:10.229835+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,83.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:13.252794+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,84.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:16.277211+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,85.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:19.303882+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,86.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:22.327926+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,87.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:25.353093+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,88.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:28.376384+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,89.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:31.400315+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,90.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:34.423228+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,91.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:37.447804+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,92.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:40.471837+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,93.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:43.497640+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,94.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:46.523250+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,95.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:49.548374+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,96.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:52.572706+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,97.33333333333334,,,,,,,,,,,,
2016-05-08 14:18:55.598123+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,98.33333333333333,,,,,,,,,,,,
2016-05-08 14:18:58.621715+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,99.33333333333333,,,,,,,,,,,,
2016-05-08 14:19:01.646668+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,100.0,,,,,,,,,,,,
2016-05-08 14:14:05.162985+00:00,__li_content_type,,Aggregated (World),,,,,,,,,application/javascript=4|image/x-icon=1|text/css=1|text/html=1,,,,,,,,,,
2016-05-08 14:14:05.162985+00:00,__li_content_type_load_time,,Aggregated (World),,,120.13,466.51,210.4425,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:05.162985+00:00,__li_content_type_load_time,,Aggregated (World),,,240.98,244.19,242.59,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:05.162985+00:00,__li_content_type_load_time,,Aggregated (World),,,239.28,241.75,240.52,2,,,,,,,text/css,,,,,,
2016-05-08 14:14:05.162985+00:00,__li_content_type_load_time,,Aggregated (World),,,244.12,374.0,309.83,4,,,,,,,text/html,,,,,,
2016-05-08 14:14:11.273665+00:00,__li_content_type_load_time,,Aggregated (World),,,121.4,418.42,218.19,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:11.273665+00:00,__li_content_type_load_time,,Aggregated (World),,,234.47,234.47,234.47,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:11.273665+00:00,__li_content_type_load_time,,Aggregated (World),,,241.53,241.53,241.53,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:11.273665+00:00,__li_content_type_load_time,,Aggregated (World),,,245.49,363.86,304.67,2,,,,,,,text/html,,,,,,
2016-05-08 14:14:17.318209+00:00,__li_content_type_load_time,,Aggregated (World),,,117.59,538.47,272.3125,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:17.318209+00:00,__li_content_type_load_time,,Aggregated (World),,,233.83,233.83,233.83,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:17.318209+00:00,__li_content_type_load_time,,Aggregated (World),,,241.53,241.53,241.53,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:17.318209+00:00,__li_content_type_load_time,,Aggregated (World),,,251.76,356.69,304.23,2,,,,,,,text/html,,,,,,
2016-05-08 14:14:23.362613+00:00,__li_content_type_load_time,,Aggregated (World),,,118.17,362.22,180.185,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:23.362613+00:00,__li_content_type_load_time,,Aggregated (World),,,238.65,238.65,238.65,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:23.362613+00:00,__li_content_type_load_time,,Aggregated (World),,,233.94,233.94,233.94,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:23.362613+00:00,__li_content_type_load_time,,Aggregated (World),,,245.26,353.21,299.24,2,,,,,,,text/html,,,,,,
2016-05-08 14:14:29.406953+00:00,__li_content_type_load_time,,Aggregated (World),,,120.88,686.47,264.51750000000004,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:29.406953+00:00,__li_content_type_load_time,,Aggregated (World),,,245.42,500.1,372.76,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:29.406953+00:00,__li_content_type_load_time,,Aggregated (World),,,249.45,581.54,415.49,2,,,,,,,text/css,,,,,,
2016-05-08 14:14:29.406953+00:00,__li_content_type_load_time,,Aggregated (World),,,241.64,389.31,309.12,4,,,,,,,text/html,,,,,,
2016-05-08 14:14:35.459642+00:00,__li_content_type_load_time,,Aggregated (World),,,120.42,740.34,281.21500000000003,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:35.459642+00:00,__li_content_type_load_time,,Aggregated (World),,,239.0,499.26,369.13,2,,,,,,,image/x-icon,,,,,,
